,School,Score,Rating,Address,Type,Grades,Total Students Enrolled,Students per teacher,District
5580,Coral Terrace Elementary School,7/10,Above average,"6801 Southwest 24th Street, Miami, FL, 33155",Public district,PK-5,407,14:1,Miami-Dade
5581,Coral Way K-8 Center,7/10,Above average,"1950 Southwest 13th Avenue, Miami, FL, 33145",Public district,PK-8,1327,16:1,Miami-Dade
5582,David Fairchild Elementary School,7/10,Above average,"5757 Southwest 45th Street, Miami, FL, 33155",Public district,PK-5,575,16:1,Miami-Dade
5583,Fairlawn Elementary School,7/10,Above average,"444 Southwest 60th Avenue, Miami, FL, 33144",Public district,PK-5,596,17:1,Miami-Dade
5584,Henry M. Flagler Elementary School,7/10,Above average,"5222 Northwest 1st Street, Miami, FL, 33126",Public district,PK-5,769,15:1,Miami-Dade
5585,Kenwood K-8 Center,7/10,Above average,"9300 Southwest 79th Avenue, Miami, FL, 33156",Public district,PK-8,1057,16:1,Miami-Dade
5586,Leewood K-8 Center,7/10,Above average,"10343 Southwest 124th Street, Miami, FL, 33176",Public district,PK-8,813,16:1,Miami-Dade
5587,Frank Crawford Martin K-8 Center,7/10,Above average,"14250 Boggs Drive, Miami, FL, 33176",Public district,PK-8,1127,16:1,Miami-Dade
5588,Melrose Elementary School,7/10,Above average,"3050 Northwest 35th Street, Miami, FL, 33142",Public district,PK-5,617,22:1,Miami-Dade
5589,Miami Heights Elementary School,7/10,Above average,"17661 Southwest 117th Avenue, Miami, FL, 33177",Public district,PK-5,873,15:1,Miami-Dade
5590,Ojus Elementary School,7/10,Above average,"18600 West Dixie Highway, Miami, FL, 33180",Public district,PK-5,885,16:1,Miami-Dade
5591,Gertrude K. Edleman/Sabal Palm Elementary School,7/10,Above average,"17101 Northeast 7th Avenue, Miami, FL, 33162",Public district,PK-5,609,16:1,Miami-Dade
5592,Scott Lake Elementary School,7/10,Above average,"1160 Northwest 175th Street, Miami, FL, 33169",Public district,PK-5,488,15:1,Miami-Dade
5593,Southside Elementary School,7/10,Above average,"45 Southwest 13th Street, Miami, FL, 33130",Public district,PK-5,798,16:1,Miami-Dade
5594,E.W.F. Stirrup Elementary School,7/10,Above average,"330 Northwest 97th Avenue, Miami, FL, 33172",Public district,PK-5,944,17:1,Miami-Dade
5595,Sylvania Heights Elementary School,7/10,Above average,"5901 Southwest 16th Street, Miami, FL, 33155",Public district,PK-5,491,13:1,Miami-Dade
5596,Glades Middle School,7/10,Above average,"9451 Southwest 64th Street, Miami, FL, 33173",Public district,6-8,894,22:1,Miami-Dade
5597,Howard D. Mcmillan Middle School,7/10,Above average,"13100 Southwest 59th Street, Miami, FL, 33183",Public district,6-8,998,18:1,Miami-Dade
5598,South Miami Middle School,7/10,Above average,"6750 Southwest 60th Street, Miami, FL, 33143",Public district,6-8,922,20:1,Miami-Dade
5599,Sweetwater Elementary School,7/10,Above average,"10655 Southwest 4th Street, Miami, FL, 33174",Public district,PK-5,689,15:1,Miami-Dade
5600,Charles R Hadley Elementary School,7/10,Above average,"8400 Northwest 7th Street, Miami, FL, 33126",Public district,PK-5,918,15:1,Miami-Dade
5601,Toussaint L'ouverture Elementary School,7/10,Above average,"120 Northeast 59th Street, Miami, FL, 33137",Public district,PK-5,394,14:1,Miami-Dade
5602,Bowman Ashe/Doolin K-8 Academy,7/10,Above average,"6601 Southwest 152nd Avenue, Miami, FL, 33193",Public district,PK-8,984,16:1,Miami-Dade
5603,Zora Neale Hurston Elementary School,7/10,Above average,"13137 Southwest 26th Street, Miami, FL, 33175",Public district,PK-5,600,14:1,Miami-Dade
5604,Law Enforcement Officers Memorial High School,7/10,Above average,"300 Northwest 2nd Avenue, Miami, FL, 33128",Public district,9-12,409,20:1,Miami-Dade
5605,Mater Grove Academy,7/10,Above average,"2805 Southwest 32nd Avenue, Miami, FL, 33133",Public charter,K-8,707,21:1,Miami-Dade
5606,Academir Charter School Middle,7/10,Above average,"5800 Southwest 135th Avenue, Miami, FL, 33183",Public charter,6-8,359,359:1,Miami-Dade
5607,Academir Charter School Preparatory,6/10,Average,"19185 Southwest 127th Avenue, Miami, FL, 33177",Public charter,K-5,706,17:1,Miami-Dade
5608,Academir Preparatory Academy,6/10,Average,"5800 Southwest 135th Avenue, Miami, FL, 33183",Public charter,K-5,441,N/A,Miami-Dade
5609,Pinecrest Glades Preparatory Academy Middle High School,6/10,Average,"15250 Southwest 8th Street, Miami, FL, 33194",Public charter,6-12,319,N/A,Miami-Dade
5610,Robert Morgan Educational Center,6/10,Average,"18180 Southwest 122nd Avenue, Miami, FL, 33177",Public district,9-12,2122,25:1,Miami-Dade
5611,Biscayne Gardens Elementary School,6/10,Average,"560 Northwest 151st Street, Miami, FL, 33169",Public district,PK-5,528,12:1,Miami-Dade
5612,Colonial Drive Elementary School,6/10,Average,"10755 Southwest 160th Street, Miami, FL, 33157",Public district,PK-5,277,13:1,Miami-Dade
5613,Everglades K-8 Center,6/10,Average,"8375 Southwest 16th Street, Miami, FL, 33155",Public district,PK-8,1028,14:1,Miami-Dade
5614,Gloria Floyd Elementary School,6/10,Average,"12650 Southwest 109th Avenue, Miami, FL, 33176",Public district,PK-5,514,13:1,Miami-Dade
5615,Madie Ives Community Elementary School,6/10,Average,"20770 Northeast 14th Avenue, Miami, FL, 33179",Public district,PK-8,728,17:1,Miami-Dade
5616,Kinloch Park Elementary School,6/10,Average,"4275 Northwest 1st Street, Miami, FL, 33126",Public district,PK-5,634,15:1,Miami-Dade
5617,Olympia Heights Elementary School,6/10,Average,"9797 Southwest 40th Street, Miami, FL, 33165",Public district,PK-5,447,14:1,Miami-Dade
5618,Rockway Elementary School,6/10,Average,"2790 Southwest 93rd Court, Miami, FL, 33165",Public district,PK-5,444,13:1,Miami-Dade
5619,Silver Bluff Elementary School,6/10,Average,"2609 Southwest 25th Avenue, Miami, FL, 33133",Public district,PK-5,479,13:1,Miami-Dade
5620,South Miami Heights Elementary School,6/10,Average,"12231 Southwest 190th Terrace, Miami, FL, 33177",Public district,PK-5,543,15:1,Miami-Dade
5621,Whispering Pines Elementary School,6/10,Average,"18929 Southwest 89th Road, Miami, FL, 33157",Public district,PK-5,544,16:1,Miami-Dade
5622,Highland Oaks Middle School,6/10,Average,"2375 Northeast 203rd Street, Miami, FL, 33180",Public district,6-8,1070,24:1,Miami-Dade
5623,Rockway Middle School,6/10,Average,"9393 Southwest 29th Terrace, Miami, FL, 33165",Public district,6-8,1148,22:1,Miami-Dade
5624,Jorge Mas Canosa Middle School,6/10,Average,"15735 Southwest 144th Street, Miami, FL, 33196",Public district,6-8,1777,20:1,Miami-Dade
5625,Mater Academy East Charter High School,6/10,Average,"998 Southwest 1st Street, Miami, FL, 33130",Public charter,9-12,249,19:1,Miami-Dade
5626,Phyllis R. Miller Elementary School,6/10,Average,"840 Northeast 87th Street, Miami, FL, 33138",Public district,PK-5,631,16:1,Miami-Dade
5627,William H. Turner Technical Arts High School,6/10,Average,"10151 Northwest 19th Avenue, Miami, FL, 33147",Public district,9-12,1474,21:1,Miami-Dade
5628,Henry E.S. Reeves Elementary School,6/10,Average,"2005 Northwest 111th Street, Miami, FL, 33167",Public district,PK-5,557,15:1,Miami-Dade
5629,Paul W. Bell Middle School,6/10,Average,"11800 Northwest 2nd Street, Miami, FL, 33184",Public district,6-8,454,17:1,Miami-Dade
5630,Pinecrest Preparatory Academy Charter High School,6/10,Average,"14901 Southwest 42nd Street, Miami, FL, 33185",Public charter,9-12,497,36:1,Miami-Dade
5631,Miami Arts Charter School,6/10,Average,"95 NW 23rd St Miami, FL 33127, Miami, FL, 33137",Public charter,6-12,1761,23:1,Miami-Dade
5632,Bridgeprep Academy Of Village Green,6/10,Average,"13300 Southwest 120th Street, Miami, FL, 33186",Public charter,K-8,752,15:1,Miami-Dade
5633,Charter High School Of The Americas,6/10,Average,"970 West Flagler Street, Miami, FL, 33130",Public charter,9-12,135,N/A,Miami-Dade
5634,Sports Leadership Of Miami Charter High School,6/10,Average,"604 Northwest 12th Avenue, Miami, FL, 33136",Public charter,9-12,605,29:1,Miami-Dade
5635,Alpha Charter Of Excellence,5/10,Average,"1217 Southwest 4th Street, Miami, FL, 33135",Public charter,K-5,313,14:1,Miami-Dade
5636,Mater International Academy,5/10,Average,"3405 Northwest 27th Avenue, Miami, FL, 33142",Public charter,K-5,165,18:1,Miami-Dade
5637,Downtown Miami Charter School,5/10,Average,"305 Northwest 3rd Avenue, Miami, FL, 33128",Public charter,PK-6,626,20:1,Miami-Dade
5638,Auburndale Elementary School,5/10,Average,"3255 Southwest 6th Street, Miami, FL, 33135",Public district,PK-5,843,13:1,Miami-Dade
5639,Van E. Blanton Elementary School,5/10,Average,"10327 Northwest 11th Avenue, Miami, FL, 33150",Public district,PK-5,568,15:1,Miami-Dade
