Unnamed: 0,School,Score,Rating,Address,Type,Grades,Total Students Enrolled,Students per teacher,District,City,State,High School (9-12),Middle School (6-8),Elementary (K-5),Pre-Kindergarten (PK)
7140,Grant Day Care Center,0,Currently unrated,"1299 Amsterdam Avenue, New York, NY, 10027",Private,PK-K,0.0,,Unavailable,New York,NY,0,0,1,1
7141,East Harlem Head Start,0,Currently unrated,"130 East 101st Street, New York, NY, 10029",Private,PK,0.0,,Unavailable,New York,NY,0,0,0,1
7142,Beginnings Nursery School,0,Currently unrated,"130 East 16th Street, New York, NY, 10003",Private,PK,0.0,,Unavailable,New York,NY,0,0,0,1
7143,Citizens Care Dcc #1,0,Currently unrated,"131 Saint Nicholas Avenue, New York, NY, 10026",Private,PK,0.0,,Unavailable,New York,NY,0,0,0,1
7144,Push My Swing Pre-School,0,Currently unrated,"133 East 29th Street, New York, NY, 10016",Private,PK,0.0,,Unavailable,New York,NY,0,0,0,1
7145,Harbor Family Horizons Dc,0,Currently unrated,"1330 5th Avenue, New York, NY, 10026",Private,PK,0.0,,Unavailable,New York,NY,0,0,0,1
7146,Child Development Center Of City College,0,Currently unrated,"133rd St & Convent Ave, New York, NY, 10031",Private,PK,0.0,,Unavailable,New York,NY,0,0,0,1
7147,Cardinal Spellman Head Start,0,Currently unrated,"137 East 2nd Street, New York, NY, 10009",Private,PK,0.0,,Unavailable,New York,NY,0,0,0,1
7148,Harriet Tubman Day Care Center,0,Currently unrated,"138 142 W 143rd St, New York, NY, 10030",Private,PK,0.0,,Unavailable,New York,NY,0,0,0,1
7149,Children's Aid Society-Mil,0,Currently unrated,"14 West 118th Street #32, New York, NY, 10026",Private,PK,0.0,,Unavailable,New York,NY,0,0,0,1
7150,Woodside Pre-School,0,Currently unrated,"140 Riverside Boulevard, New York, NY, 10069",Private,PK-K,0.0,,Unavailable,New York,NY,0,0,1,1
7151,Educational Alliance Dc,0,Currently unrated,"600 East 6th Street, New York, NY, 10009",Private,PK,0.0,,Unavailable,New York,NY,0,0,0,1
7152,Early Childhood Center,0,Currently unrated,"146 Duane Street, New York, NY, 10013",Private,PK,0.0,,Unavailable,New York,NY,0,0,0,1
7153,City Country School,0,Currently unrated,"146 West 13th Street, New York, NY, 10011",Private,PK-8,368.0,,Unavailable,New York,NY,0,1,1,1
7154,Mount Morris Day Care Center,0,Currently unrated,"15 Mount Morris Park W, New York, NY, 10027",Private,PK,0.0,,Unavailable,New York,NY,0,0,0,1
7155,Childrens Liberation Day Care,0,Currently unrated,"150 1st Ave, New York, NY, 10009",Private,PK,0.0,,Unavailable,New York,NY,0,0,0,1
7156,Pre-School Of America V,0,Currently unrated,"1501 Lexington Avenue, New York, NY, 10029",Private,PK,0.0,,Unavailable,New York,NY,0,0,0,1
7157,Little Star Day Care Center,0,Currently unrated,"151 Broome Street, New York, NY, 10002",Private,PK,0.0,,Unavailable,New York,NY,0,0,0,1
7158,Jane Varick Dcc,0,Currently unrated,"151 West 136th Street, New York, NY, 10030",Private,PK-K,0.0,,Unavailable,New York,NY,0,0,1,1
7159,York Ave Pre-School & Kindergarten,0,Currently unrated,"1520 York Avenue, New York, NY, 10028",Private,PK,0.0,,Unavailable,New York,NY,0,0,0,1
7160,Valdez Day Care,0,Currently unrated,"155 Audubon Ave, New York, NY, 10032",Private,PK,0.0,,Unavailable,New York,NY,0,0,0,1
7161,Union Carver Children's Center,0,Currently unrated,"1565 Madison Avenue, New York, NY, 10029",Private,PK,0.0,,Unavailable,New York,NY,0,0,0,1
7162,Prince Hall Dcc,0,Currently unrated,"159-30 Harlem River Dr, New York, NY, 10039",Private,PK,0.0,,Unavailable,New York,NY,0,0,0,1
7163,Westside Pre-School,0,Currently unrated,"165 West 105th Street, New York, NY, 10025",Private,PK,0.0,,Unavailable,New York,NY,0,0,0,1
7164,City & Country Pre-School,0,Currently unrated,"165 W 12th St, New York, NY, 10011",Private,PK,0.0,,Unavailable,New York,NY,0,0,0,1
7165,City & Country Pre-School I,0,Currently unrated,"165 W 12th St, New York, NY, 10011",Private,PK,0.0,,Unavailable,New York,NY,0,0,0,1
7166,Seton Dcc,0,Currently unrated,"1675 3rd Avenue, New York, NY, 10128",Private,PK,0.0,,Unavailable,New York,NY,0,0,0,1
7167,Escalera Head Start,0,Currently unrated,"169 West 87th Street, New York, NY, 10024",Private,PK,0.0,,Unavailable,New York,NY,0,0,0,1
7168,Children's Aid Society-Milbank,0,Currently unrated,"21 West 118th Street, New York, NY, 10026",Private,PK,0.0,,Unavailable,New York,NY,0,0,0,1
7169,Childrens Garden-Gen Theo Dc,0,Currently unrated,"440 West 21st Street, New York, NY, 10011",Private,PK,0.0,,Unavailable,New York,NY,0,0,0,1
7170,University Settlement Day Care,0,Currently unrated,"175 Eldridge St, New York, NY, 10002",Private,PK,0.0,,Unavailable,New York,NY,0,0,0,1
7171,YWCA Grosvenor Day Care Center,0,Currently unrated,"176 W 105th St, New York, NY, 10025",Private,PK,0.0,,Unavailable,New York,NY,0,0,0,1
7172,Holmes Towers Eisman Nursery,0,Currently unrated,"1794 1st Avenue, New York, NY, 10128",Private,PK,0.0,,Unavailable,New York,NY,0,0,0,1
7173,Bee Bees Lil Angels Day Care,0,Currently unrated,"1794 Madison Avenue, New York, NY, 10035",Private,PK-K,0.0,,Unavailable,New York,NY,0,0,1,1
7174,Escuela Hispana Mont Center,0,Currently unrated,"185 Avenue D, New York, NY, 10009",Private,PK,0.0,,Unavailable,New York,NY,0,0,0,1
7175,Bright Horizons Child Care Center-Chase,0,Currently unrated,"18 East 48th Street, New York, NY, 10017",Private,PK,0.0,,Unavailable,New York,NY,0,0,0,1
7176,Chinatown Head Start,0,Currently unrated,"180 Mott Street, New York, NY, 10012",Private,PK,0.0,,Unavailable,New York,NY,0,0,0,1
7177,Puerto Rican Council Dcc,0,Currently unrated,"180 Suffolk Street, New York, NY, 10002",Private,PK,0.0,,Unavailable,New York,NY,0,0,0,1
7178,Jackie Robinson Early Learning Center,0,Currently unrated,"181 W 135th St, New York, NY, 10030",Private,PK,0.0,,Unavailable,New York,NY,0,0,0,1
7179,Lexington Children's Day Care Center #2,0,Currently unrated,"183 E 98th St, New York, NY, 10029",Private,PK,0.0,,Unavailable,New York,NY,0,0,0,1
7180,Neighborhood Childrens Center,0,Currently unrated,"173 East 112th Street, New York, NY, 10029",Private,PK,0.0,,Unavailable,New York,NY,0,0,0,1
7181,University Settlement Ecc High School,0,Currently unrated,"184 Eldridge Street, New York, NY, 10002",Private,PK,0.0,,Unavailable,New York,NY,0,0,0,1
7182,University Settlement Child Care Center,0,Currently unrated,"184 Eldridge St, New York, NY, 10002",Private,PK,0.0,,Unavailable,New York,NY,0,0,0,1
7183,University Settlement Early Head Start,0,Currently unrated,"184 Eldridge St, New York, NY, 10002",Private,PK,0.0,,Unavailable,New York,NY,0,0,0,1
7184,University Settlement Head Start,0,Currently unrated,"184 Eldridge St, New York, NY, 10002",Private,PK,0.0,,Unavailable,New York,NY,0,0,0,1
7185,Kiddies Safe Haven Pre-School,0,Currently unrated,"1890 Adam C Powell Blvd, New York, NY, 10026",Private,PK,0.0,,Unavailable,New York,NY,0,0,0,1
7186,Union Washington Child Care,0,Currently unrated,"1893 2nd Avenue, New York, NY, 10029",Private,PK,0.0,,Unavailable,New York,NY,0,0,0,1
7187,Union Washington Child Care Center & Head Start,0,Currently unrated,"1893 2nd Ave, New York, NY, 10029",Private,PK,0.0,,Unavailable,New York,NY,0,0,0,1
7188,Mcc Early Childhood Center,0,Currently unrated,"199 Chambers Street, New York, NY, 10007",Private,PK,0.0,,Unavailable,New York,NY,0,0,0,1
7189,Pre-School Of The Arts,0,Currently unrated,"199 West 19th Street, New York, NY, 10011",Private,PK,0.0,,Unavailable,New York,NY,0,0,0,1
7190,Montessori School-Manhattan,0,Currently unrated,"2 Gold Street, New York, NY, 10038",Private,PK,0.0,,Unavailable,New York,NY,0,0,0,1
7191,United Nations Child Care Center,0,Currently unrated,"2 United Nations Plaza, New York, NY, 10017",Private,PK-K,0.0,,Unavailable,New York,NY,0,0,1,1
7192,Pre-School House Day Care,0,Currently unrated,"20 Cumming St, New York, NY, 10040",Private,PK,0.0,,Unavailable,New York,NY,0,0,0,1
7193,JP Morgan Chase Back-Up Child Care Center,0,Currently unrated,"20 Pine St, New York, NY, 10005",Private,PK,0.0,,Unavailable,New York,NY,0,0,0,1
7194,Bright Horizons-Park Ave,0,Currently unrated,"200 Park Ave, New York, NY, 10166",Private,PK,0.0,,Unavailable,New York,NY,0,0,0,1
7195,ABC-East Harlem Day Care Center,0,Currently unrated,"206 E 124th St, New York, NY, 10035",Private,PK,0.0,,Unavailable,New York,NY,0,0,0,1
7196,Upper Manhattan Day Care Center,0,Currently unrated,"207 W 133rd St, New York, NY, 10030",Private,PK,0.0,,Unavailable,New York,NY,0,0,0,1
7197,Union Settlement Head Start Ii,0,Currently unrated,"2081 2nd Avenue, New York, NY, 10029",Private,PK,0.0,,Unavailable,New York,NY,0,0,0,1
7198,Dawning Village Day Care,0,Currently unrated,"2090 1st Avenue, New York, NY, 10029",Private,PK,0.0,,Unavailable,New York,NY,0,0,0,1
7199,Tompkins Hall Nursery School,0,Currently unrated,"21 Claremont Avenue, New York, NY, 10027",Private,PK,0.0,,Unavailable,New York,NY,0,0,0,1
7200,Manhattan Kid's Club,0,Currently unrated,"21 East 13th Street, New York, NY, 10003",Private,PK,0.0,,Unavailable,New York,NY,0,0,0,1
7201,St Benedict Day Nursery,0,Currently unrated,"21 West 124th Street, New York, NY, 10027",Private,PK-K,49.0,,Unavailable,New York,NY,0,0,1,1
7202,Salem Day Care Center,0,Currently unrated,"211 West 129th Street, New York, NY, 10027",Private,PK,0.0,,Unavailable,New York,NY,0,0,0,1
7203,Abraham Lincoln Head Start,0,Currently unrated,"2110 Madison Ave, New York, NY, 10037",Private,PK,0.0,,Unavailable,New York,NY,0,0,0,1
7204,East Harlem Block Nursery #2,0,Currently unrated,"2112 Madison Avenue, New York, NY, 10037",Private,PK,0.0,,Unavailable,New York,NY,0,0,0,1
7205,East Harlem Block Nursery 1,0,Currently unrated,"215 East 106th Street, New York, NY, 10029",Private,PK,0.0,,Unavailable,New York,NY,0,0,0,1
7206,Battery Park City Day Nursery,0,Currently unrated,"215 South End Avenue, New York, NY, 10280",Private,PK,0.0,,Unavailable,New York,NY,0,0,0,1
7207,Battery Park City Nursery,0,Currently unrated,"215 S End Ave, New York, NY, 10280",Private,PK,0.0,,Unavailable,New York,NY,0,0,0,1
7208,Battery Park City Day Nursery,0,Currently unrated,"215 S End Ave, New York, NY, 10280",Private,PK,0.0,,Unavailable,New York,NY,0,0,0,1
7209,McBurney YMCA Early Childhood Center,0,Currently unrated,"215 W 23rd St, New York, NY, 10011",Private,PK,0.0,,Unavailable,New York,NY,0,0,0,1
7210,Union Settlement Head Start 1,0,Currently unrated,"218 East 104th Street, New York, NY, 10029",Private,PK,0.0,,Unavailable,New York,NY,0,0,0,1
7211,Chama Child Development Center,0,Currently unrated,"218 W 147th St, New York, NY, 10039",Private,PK,0.0,,Unavailable,New York,NY,0,0,0,1
7212,Odyssey House Family Child Care Center,0,Currently unrated,"219 East 121st Street, New York, NY, 10035",Private,PK,0.0,,Unavailable,New York,NY,0,0,0,1
7213,Pgrm For Teenge Preg Cc,0,Currently unrated,"22 East 128th Street, New York, NY, 10035",Private,PK,0.0,,Unavailable,New York,NY,0,0,0,1
7214,Dawning Village Day Care Center,0,Currently unrated,"2211 1st Avenue, New York, NY, 10029",Private,PK-K,0.0,,Unavailable,New York,NY,0,0,1,1
7215,Tribecca Community School,0,Currently unrated,"22 Ericsson Place, New York, NY, 10013",Private,PK,0.0,,Unavailable,New York,NY,0,0,0,1
7216,Vanderbilt Ymca Early Chld Center,0,Currently unrated,"224 East 47th Street, New York, NY, 10017",Private,PK,0.0,,Unavailable,New York,NY,0,0,0,1
7217,Mary Walton Dcc,0,Currently unrated,"224 West 152nd Street, New York, NY, 10039",Private,PK,0.0,,Unavailable,New York,NY,0,0,0,1
7218,Kaplan Nursery School,0,Currently unrated,"225 East 51st Street, New York, NY, 10022",Private,PK,0.0,,Unavailable,New York,NY,0,0,0,1
7219,Community Life Head Start,0,Currently unrated,"23 West 124th Street, New York, NY, 10027",Private,PK,0.0,,Unavailable,New York,NY,0,0,0,1
7220,Basic Trust Infant-Toddler Center,0,Currently unrated,"225 West 99th Street, New York, NY, 10025",Private,PK,0.0,,Unavailable,New York,NY,0,0,0,1
7221,Nubian Day Care,0,Currently unrated,"229 W 135th St, New York, NY, 10030",Private,PK,0.0,,Unavailable,New York,NY,0,0,0,1
7222,Moravian Head Start Center,0,Currently unrated,"23 W 124th St, New York, NY, 10027",Private,PK,0.0,,Unavailable,New York,NY,0,0,0,1
7223,Buckle My Shoe Nursery School,0,Currently unrated,"230 West 13th Street, New York, NY, 10011",Private,PK,0.0,,Unavailable,New York,NY,0,0,0,1
7224,Citizen's Care Day Care Center #2,0,Currently unrated,"2322 3rd Avenue, New York, NY, 10035",Private,PK,0.0,,Unavailable,New York,NY,0,0,0,1
7225,Third Street Preschool,0,Currently unrated,"235 East 11th Street, New York, NY, 10003",Private,PK-4,0.0,,Unavailable,New York,NY,0,0,1,1
7226,Utopia Day Care Center,0,Currently unrated,"236 West 131st Street, New York, NY, 10027",Private,PK-K,0.0,,Unavailable,New York,NY,0,0,1,1
7227,St Ignatius Day Nursery,0,Currently unrated,"240 East 84th Street, New York, NY, 10028",Private,PK,0.0,,Unavailable,New York,NY,0,0,0,1
7228,Tasc Day Care-Community Partnership CHRT,0,Currently unrated,"241 Emerson Pl, New York, NY, 10019",Private,PK,0.0,,Unavailable,New York,NY,0,0,0,1
7229,Countee Cullen CCC-PS 194,0,Currently unrated,"242 W 144th St, New York, NY, 10030",Private,PK,0.0,,Unavailable,New York,NY,0,0,0,1
7230,Mabel Barrett Fitzgerald Dc,0,Currently unrated,"243 West 64th Street, New York, NY, 10023",Private,PK,0.0,,Unavailable,New York,NY,0,0,0,1
7231,First Friends Pre-School,0,Currently unrated,"245 West 74th Street, New York, NY, 10023",Private,PK,0.0,,Unavailable,New York,NY,0,0,0,1
7232,West End Collegiate Ch Ply School,0,Currently unrated,"245 W 77th St, New York, NY, 10024",Private,PK,0.0,,Unavailable,New York,NY,0,0,0,1
7233,West End Collegiate Ch Pre-School,0,Currently unrated,"245 W 77th St, New York, NY, 10024",Private,PK,0.0,,Unavailable,New York,NY,0,0,0,1
7234,Kids Korner Pre-School,0,Currently unrated,"247 West 24th Street, New York, NY, 10011",Private,PK,0.0,,Unavailable,New York,NY,0,0,0,1
7235,Laguardia House Nursery,0,Currently unrated,"1st Avenue, New York, NY, 10029",Private,PK,0.0,,Unavailable,New York,NY,0,0,0,1
7236,Ecdo Head Start Ecc,0,Currently unrated,"249 West 144th Street, New York, NY, 10030",Private,PK,0.0,,Unavailable,New York,NY,0,0,0,1
7237,Sheltering Arms Learning Center,0,Currently unrated,"2493 Adam Clayton Powell Junior Boulevard, New York, NY, 10030",Private,PK,0.0,,Unavailable,New York,NY,0,0,0,1
7238,Red Apple Child Development Center,0,Currently unrated,"25 Market Street, New York, NY, 10002",Private,PK,0.0,,Unavailable,New York,NY,0,0,0,1
7239,Pre-School Of America,0,Currently unrated,"25 Tudor City Place, New York, NY, 10017",Private,PK,0.0,,Unavailable,New York,NY,0,0,0,1
7240,Adam Clayton Powell Day Care,0,Currently unrated,"25 W 132nd St, New York, NY, 10037",Private,PK,0.0,,Unavailable,New York,NY,0,0,0,1
7241,Purple Circle Dcc,0,Currently unrated,"251 West 100th Street, New York, NY, 10025",Private,PK-K,0.0,,Unavailable,New York,NY,0,0,1,1
7242,Yaldaynu Preschool,0,Currently unrated,"251 West 100th Street, New York, NY, 10025",Private,PK,0.0,,Unavailable,New York,NY,0,0,0,1
7243,Action For Progress Dcc,0,Currently unrated,"180 Suffolk Street, New York, NY, 10002",Private,PK,0.0,,Unavailable,New York,NY,0,0,0,1
7244,Fed Kids Child Care Center,0,Currently unrated,"26 Federal Plaza, New York, NY, 10278",Private,PK,0.0,,Unavailable,New York,NY,0,0,0,1
7245,Fundacion Dominicana Child Care Center,0,Currently unrated,"260 Audubon Ave, New York, NY, 10033",Private,PK,0.0,,Unavailable,New York,NY,0,0,0,1
7246,Collegiate Pre-School,0,Currently unrated,"260 W 78th St, New York, NY, 10024",Private,PK,0.0,,Unavailable,New York,NY,0,0,0,1
7247,Ymca Harlem Outreach Center,0,Currently unrated,"2627 Adam Clayton Powell Junior Boulevard, New York, NY, 10039",Private,PK,0.0,,Unavailable,New York,NY,0,0,0,1
7248,Drew Hamilton Learning Center,0,Currently unrated,"2672 Frederick Douglass Boulevard, New York, NY, 10030",Private,PK,0.0,,Unavailable,New York,NY,0,0,0,1
7249,Greenwich House Pre-School,0,Currently unrated,"224 West 30th Street, New York, NY, 10001",Private,PK,0.0,,Unavailable,New York,NY,0,0,0,1
7250,Barrow Street Nursery School,0,Currently unrated,"27 Barrow Street, New York, NY, 10014",Private,PK,0.0,,Unavailable,New York,NY,0,0,0,1
7251,International Pre-School's,0,Currently unrated,"28 East 35th Street, New York, NY, 10016",Private,PK,0.0,,Unavailable,New York,NY,0,0,0,1
7252,Brotherhood Nursery School,0,Currently unrated,"28 Gramercy Park South, New York, NY, 10003",Private,PK,0.0,,Unavailable,New York,NY,0,0,0,1
7253,Dewitt Reformed Ch Head Start,0,Currently unrated,"280 Rivington Street, New York, NY, 10002",Private,PK,0.0,,Unavailable,New York,NY,0,0,0,1
7254,Arlem River Head Start,0,Currently unrated,"291 W 151st St, New York, NY, 10039",Private,PK,0.0,,Unavailable,New York,NY,0,0,0,1
7255,Grand Street Head Start,0,Currently unrated,"80 Pitt Street, New York, NY, 10002",Private,PK,0.0,,Unavailable,New York,NY,0,0,0,1
7256,Morningside Day Care Center,0,Currently unrated,"2967 Frederick Douglass Boulevard, New York, NY, 10039",Private,PK,0.0,,Unavailable,New York,NY,0,0,0,1
7257,East Harlem Bilingual High School Pgrm,0,Currently unrated,"30 East 111th Street, New York, NY, 10029",Private,PK,0.0,,Unavailable,New York,NY,0,0,0,1
7258,Grand Street Settlement Dc,0,Currently unrated,"300 Delancey Street, New York, NY, 10002",Private,PK,0.0,,Unavailable,New York,NY,0,0,0,1
7259,Barnard College Toddler Center,0,Currently unrated,"3009 Broadway, New York, NY, 10027",Private,PK,0.0,,Unavailable,New York,NY,0,0,0,1
7260,Metro North Day Care Center,0,Currently unrated,"304 East 102nd Street, New York, NY, 10029",Private,PK-K,0.0,,Unavailable,New York,NY,0,0,1,1
7261,Childrens Learning Center,0,Currently unrated,"310 West 103rd Street, New York, NY, 10025",Private,PK,0.0,,Unavailable,New York,NY,0,0,0,1
7262,Salvation Army Day Care-Gains,0,Currently unrated,"315 West 47th Street, New York, NY, 10036",Private,PK,0.0,,Unavailable,New York,NY,0,0,0,1
7263,Abc Merricats Castle Nursery,0,Currently unrated,"316 East 88th Street, New York, NY, 10128",Private,PK,0.0,,Unavailable,New York,NY,0,0,0,1
7264,Abc Day Care Jamie Rose,0,Currently unrated,"318 East 116th Street, New York, NY, 10029",Private,PK,0.0,,Unavailable,New York,NY,0,0,0,1
7265,Washington Market School,0,Currently unrated,"134 Duane Street, New York, NY, 10013",Private,PK,0.0,,Unavailable,New York,NY,0,0,0,1
